conflict_id,full_conflict_lines,context_before_lines,conflict_lines,context_after_lines,resolution_lines,parent1_lines,parent2_lines,base_lines,num_tokens_query,resolution_in_left_or_right,selected
12-42-0-2,222,5,212,5,191,191,18,-1,2318,True,False
12-42-0-3,222,5,212,5,191,191,18,-1,2323,False,False
12-42-0-4,308,5,301,2,753,11,287,-1,2654,False,False
12-53-0-1,14,5,4,5,1,1,0,-1,233,True,False
12-54-0-1,64,5,54,5,12,6,45,-1,661,False,False
12-54-0-2,15,5,5,5,0,2,0,-1,301,True,False
12-54-0-3,36,5,26,5,14,13,10,-1,437,False,False
12-54-0-5,54,5,44,5,40,36,5,-1,474,False,False
12-54-0-6,14,5,4,5,1,0,1,-1,197,True,False
12-54-0-7,18,5,8,5,3,3,2,-1,222,True,False
12-54-0-9,19,5,9,5,93,3,3,-1,222,False,True
12-57-0-1,15,5,5,5,2,1,1,-1,231,False,True
12-57-0-2,15,5,5,5,2,1,1,-1,269,False,False
12-57-1-1,15,5,5,5,1,1,1,-1,217,True,False
12-57-2-1,15,5,5,5,1,1,1,-1,214,True,False
12-57-3-1,15,5,5,5,1,1,1,-1,206,True,False
12-57-4-1,15,5,5,5,1,1,1,-1,211,True,False
12-62-0-1,133,5,123,5,2,2,118,-1,1101,True,False
12-62-0-10,150,5,143,2,3187,139,1,-1,1215,False,False
12-62-0-2,50,5,40,5,11,16,21,-1,431,False,False
12-62-0-3,17,5,7,5,843,2,2,-1,271,False,False
12-62-0-4,48,5,38,5,11,16,19,-1,428,False,False
12-62-0-5,247,5,237,5,50,19,215,-1,1739,False,False
12-62-0-6,42,5,32,5,0,0,29,-1,453,True,False
12-62-0-7,55,5,45,5,18,19,23,-1,565,False,False
12-62-0-8,15,5,5,5,1,1,1,-1,259,True,False
12-62-0-9,84,5,74,5,50,48,23,-1,768,False,False
12-64-0-1,15,5,5,5,2,1,1,-1,250,False,True
12-64-1-1,16,5,6,5,3,2,1,-1,262,False,False
12-64-1-2,16,5,6,5,2,1,2,-1,262,False,False
12-71-0-1,20,5,10,5,1,1,6,-1,260,True,False
16-39-0-2,19,5,9,5,4,2,4,-1,260,True,False
16-39-0-3,15,5,5,5,1,1,1,-1,250,True,False
2-40-0-1,20,5,10,5,4,4,3,-1,333,True,False
2-52-0-1,23,5,13,5,8,2,8,-1,266,True,False
2-52-0-2,61,5,51,5,48,48,0,-1,662,True,False
2-53-0-1,16,5,6,5,2,1,2,-1,262,True,False
2-53-1-1,31,5,21,5,9,9,9,-1,356,True,False
2-55-0-1,23,5,13,5,7,3,7,-1,369,False,False
2-58-0-1,32,5,22,5,1,18,1,-1,476,True,False
2-58-0-2,34,5,24,5,3,18,3,-1,547,True,False
2-59-0-1,14,5,4,5,1,1,0,-1,238,True,False
2-59-0-2,922,5,912,5,57,57,852,-1,7064,True,False
2-59-0-3,25,5,15,5,6,6,6,-1,397,True,False
2-59-0-4,27,5,17,5,3,3,11,-1,333,True,False
2-59-0-5,46,5,36,5,10,10,23,-1,701,True,False
2-59-0-6,41,5,31,5,11,11,17,-1,512,True,False
2-59-0-7,130,5,120,5,14,14,103,-1,1348,True,False
2-60-0-1,15,5,5,5,0,2,0,-1,234,True,False
2-60-0-2,76,5,66,5,0,63,0,-1,629,True,False
2-60-0-3,17,5,7,5,1,3,1,-1,277,True,False
2-60-0-5,14,5,4,5,0,1,0,-1,284,True,False
2-60-0-6,18,5,8,5,2,3,2,-1,309,True,False
2-60-0-7,19,5,9,5,2,4,2,-1,298,True,False
2-60-0-8,40,5,30,5,13,14,13,-1,590,True,False
2-60-1-1,22,5,12,5,5,4,5,-1,259,True,False
20-100-0-1,15,5,5,5,1,1,1,-1,285,False,False
20-104-0-1,53,5,43,5,23,17,23,-1,592,True,False
20-121-0-1,15,5,5,5,1,1,1,-1,262,True,False
20-121-0-2,15,5,5,5,1,1,1,-1,205,True,False
20-121-0-3,15,5,5,5,1,1,1,-1,276,True,False
20-121-0-4,24,5,14,5,5,6,5,-1,325,True,False
20-121-0-5,19,5,9,5,3,3,3,-1,233,True,False
20-121-1-1,17,5,7,5,2,2,2,-1,302,True,False
20-121-1-2,17,5,7,5,2,2,2,-1,297,False,False
20-121-1-3,17,5,7,5,2,2,2,-1,291,True,False
20-123-0-1,16,5,6,5,2,2,1,-1,231,True,False
20-127-0-1,44,5,34,5,12,12,19,-1,465,True,False
20-129-0-1,17,5,7,5,0,0,4,-1,245,True,False
20-129-1-1,16,5,6,5,0,3,0,-1,229,True,False
20-24-0-1,14,5,4,5,0,1,0,-1,219,True,False
20-24-1-1,43,5,33,5,18,16,14,-1,450,False,False
20-26-0-1,14,5,4,5,0,1,0,-1,210,True,False
20-26-0-2,15,5,5,5,2,1,1,-1,213,False,True
20-26-0-3,15,5,5,5,1,1,1,-1,293,True,False
20-26-0-4,14,5,4,5,0,0,1,-1,209,True,False
20-26-0-5,16,5,6,5,3,0,3,-1,243,False,True
20-26-0-8,31,5,21,5,12,7,11,-1,376,False,False
20-26-0-9,18,5,8,5,4,4,1,-1,259,False,False
20-26-1-1,17,5,7,5,1,1,3,-1,274,True,False
20-26-1-2,28,5,18,5,14,14,1,-1,355,False,False
20-26-2-1,22,5,12,5,5,2,7,-1,326,False,False
20-26-4-2,17,5,7,5,3,2,2,-1,208,False,True
20-26-4-3,15,5,5,5,1,0,2,-1,219,False,True
20-26-4-4,15,5,5,5,2,2,0,-1,232,True,False
20-26-6-1,43,5,33,5,18,18,12,-1,497,False,False
20-27-0-1,17,5,7,5,4,2,2,-1,222,False,True
20-27-0-2,22,5,12,5,7,7,2,-1,292,False,False
20-34-0-2,16,5,6,5,1,2,1,-1,307,True,False
20-34-1-2,98,5,88,5,0,0,85,-1,766,True,False
20-34-1-3,19,5,9,5,5,4,2,-1,338,False,False
20-34-1-4,97,5,87,5,0,84,0,-1,875,True,False
20-34-2-4,15,5,5,5,1,1,1,-1,232,True,False
20-34-2-5,69,5,59,5,49,0,56,-1,565,False,False
20-34-2-6,108,5,98,5,7,88,7,-1,965,True,False
20-34-3-2,16,5,6,5,3,2,1,-1,272,False,False
20-5-0-1,36,5,26,5,22,20,3,-1,404,False,False
20-59-0-1,31,5,21,5,31,17,1,-1,342,False,False
20-59-1-1,16,5,6,5,2,1,2,-1,276,True,False
20-59-2-3,15,5,5,5,1,1,1,-1,280,True,False
20-59-2-4,18,5,8,5,2,2,3,-1,266,True,False
20-59-2-5,15,5,5,5,1,1,1,-1,256,True,False
20-59-3-1,162,5,152,5,1,1,148,-1,1274,True,False
20-89-0-1,29,5,19,5,19,6,10,-1,367,False,False
27-1147-0-1,17,5,7,5,1,1,3,-1,343,True,False
27-1147-0-2,17,5,7,5,1,1,3,-1,288,True,False
27-3053-0-1,20,5,10,5,5,5,2,-1,419,True,False
27-3214-0-1,14,5,4,5,1,1,0,-1,280,True,False
27-3216-0-1,17,5,7,5,1,1,3,-1,343,True,False
27-3216-0-2,17,5,7,5,1,1,3,-1,288,True,False
27-3217-2-1,17,5,7,5,1,1,3,-1,295,True,False
27-3222-0-1,15,5,5,5,1,1,1,-1,274,True,False
27-3222-0-2,15,5,5,5,1,1,1,-1,243,True,False
27-3222-0-3,15,5,5,5,1,1,1,-1,250,True,False
27-3222-0-4,15,5,5,5,1,1,1,-1,246,True,False
27-3222-0-5,15,5,5,5,1,1,1,-1,238,True,False
27-3222-0-6,15,5,5,5,1,1,1,-1,237,True,False
27-3222-0-7,15,5,5,5,1,1,1,-1,236,True,False
27-3222-0-8,15,5,5,5,1,1,1,-1,241,True,False
28-10-0-1,15,5,5,5,1,1,1,-1,286,True,False
29-471-0-1,25,5,15,5,11,1,11,-1,284,True,False
32-11-0-1,22,5,12,5,5,4,5,-1,327,False,False
32-11-1-1,18,5,8,5,2,2,3,-1,286,True,False
32-11-1-2,19,5,9,5,3,3,3,-1,275,False,False
32-11-1-3,24,5,14,5,5,5,6,-1,332,True,False
32-11-1-4,17,5,7,5,2,2,2,-1,257,False,False
32-11-2-1,16,5,6,5,3,1,2,-1,246,False,True
33-134-0-1,15,5,5,5,1,1,1,-1,255,True,False
33-134-0-2,26,5,16,5,13,13,0,-1,346,False,False
33-134-0-3,31,5,21,5,14,14,4,-1,385,True,False
33-134-0-4,15,5,5,5,1,1,1,-1,255,True,False
33-1405-0-1,15,5,5,5,1,1,1,-1,253,False,True
33-1421-0-1,19,5,9,5,2,2,4,-1,302,False,False
33-1424-0-1,18,5,8,5,2,2,3,-1,323,False,False
33-1424-1-1,17,5,7,5,2,2,2,-1,300,False,False
33-1424-2-1,17,5,7,5,2,2,2,-1,299,False,False
33-1530-0-1,17,5,7,5,2,2,2,-1,259,False,False
33-161-0-1,42,5,32,5,16,16,13,-1,638,True,False
33-1702-0-1,17,5,7,5,2,2,2,-1,232,False,True
33-1717-0-1,26,5,16,5,7,7,6,-1,300,True,False
33-1717-0-2,29,5,19,5,1,1,15,-1,322,True,False
33-1730-0-1,14,5,4,5,1,0,1,-1,235,True,False
33-1829-0-1,17,5,7,5,3,2,2,-1,270,False,False
33-1829-0-2,18,5,8,5,4,0,5,-1,242,True,False
33-1829-0-3,17,5,7,5,3,1,3,-1,265,False,False
33-1835-0-1,16,5,6,5,0,0,3,-1,279,True,False
33-1836-1-1,15,5,5,5,2,2,0,-1,269,True,False
33-1837-0-1,18,5,8,5,2,2,3,-1,301,True,False
33-1841-0-1,14,5,4,5,1,1,0,-1,214,True,False
33-1848-0-1,17,5,7,5,2,2,2,-1,275,True,False
33-1849-0-1,23,5,13,5,10,4,6,-1,329,False,False
33-1850-0-1,19,5,9,5,4,6,0,-1,287,True,False
33-1850-0-2,51,5,41,5,41,12,26,-1,571,False,False
33-1851-0-1,30,5,20,5,16,16,1,-1,397,False,False
33-1857-0-1,18,5,8,5,2,2,3,-1,296,True,False
33-1875-0-1,15,5,5,5,1,1,1,-1,213,True,False
33-1876-0-1,15,5,5,5,1,1,1,-1,214,True,False
33-1928-0-1,14,5,4,5,0,0,1,-1,216,True,False
33-1961-0-1,15,5,5,5,1,1,1,-1,256,True,False
33-1967-0-1,20,5,10,5,2,2,5,-1,311,True,False
33-1967-1-1,20,5,10,5,2,2,5,-1,311,True,False
33-1967-2-1,20,5,10,5,2,2,5,-1,311,True,False
33-1967-3-1,20,5,10,5,2,2,5,-1,311,True,False
33-1967-4-1,20,5,10,5,2,2,5,-1,311,True,False
33-1967-4-2,18,5,8,5,3,3,2,-1,253,True,False
33-1967-5-1,20,5,10,5,2,2,5,-1,311,True,False
33-1967-5-2,18,5,8,5,3,3,2,-1,253,True,False
33-1967-6-1,20,5,10,5,2,2,5,-1,311,True,False
33-1968-0-1,20,5,10,5,2,2,5,-1,311,True,False
33-1968-1-1,20,5,10,5,2,2,5,-1,311,True,False
33-1968-2-1,20,5,10,5,2,2,5,-1,311,True,False
33-1968-3-1,20,5,10,5,2,2,5,-1,311,True,False
33-1968-4-1,20,5,10,5,2,2,5,-1,311,True,False
33-1968-4-2,18,5,8,5,3,3,2,-1,253,True,False
33-1968-5-1,20,5,10,5,2,2,5,-1,311,True,False
33-1968-5-2,18,5,8,5,3,3,2,-1,253,True,False
33-1968-6-1,20,5,10,5,2,2,5,-1,311,True,False
33-2016-0-1,20,5,10,5,5,2,5,-1,359,True,False
33-2040-0-1,16,5,6,5,2,2,1,-1,258,False,False
33-2042-0-3,16,5,6,5,2,1,2,-1,401,True,False
33-2042-1-1,97,5,87,5,0,0,84,-1,839,True,False
33-2072-0-1,14,5,4,5,1,1,0,-1,229,True,False
33-2072-0-2,14,5,4,5,1,1,0,-1,236,True,False
33-2072-0-3,16,5,6,5,2,2,1,-1,275,True,False
33-2072-0-4,16,5,6,5,2,2,1,-1,254,True,False
33-2072-1-1,15,5,5,5,1,1,1,-1,236,True,False
33-2072-1-2,14,5,4,5,1,1,0,-1,236,True,False
33-2072-1-3,16,5,6,5,2,2,1,-1,275,True,False
33-2072-1-4,16,5,6,5,2,2,1,-1,249,True,False
33-2072-1-5,123,5,113,5,0,0,110,-1,1031,True,False
33-2072-1-6,38,5,28,5,24,0,25,-1,438,False,False
33-2072-2-1,15,5,5,5,2,2,0,-1,237,True,False
33-2072-2-2,14,5,4,5,1,1,0,-1,236,True,False
33-2072-2-3,16,5,6,5,2,2,1,-1,275,True,False
33-2072-2-4,16,5,6,5,2,2,1,-1,255,True,False
33-2072-3-1,15,5,5,5,2,2,0,-1,235,True,False
33-2072-3-2,14,5,4,5,1,1,0,-1,236,True,False
33-2072-3-3,16,5,6,5,2,2,1,-1,264,True,False
33-2072-3-4,16,5,6,5,2,2,1,-1,253,True,False
33-2072-4-1,15,5,5,5,2,2,0,-1,237,True,False
33-2072-4-2,14,5,4,5,1,1,0,-1,236,True,False
33-2072-4-3,16,5,6,5,2,2,1,-1,264,True,False
33-2072-4-4,16,5,6,5,2,2,1,-1,250,True,False
33-2176-0-1,15,5,5,5,1,1,1,-1,252,True,False
33-2176-0-2,37,5,27,5,32,10,14,-1,497,False,False
33-2203-0-1,40,5,30,5,28,10,17,-1,502,False,False
33-2209-0-1,72,5,62,5,62,48,11,-1,946,False,False
33-2210-0-1,80,5,70,5,68,50,17,-1,987,False,False
33-2216-0-1,43,5,33,5,31,13,17,-1,516,False,False
33-2284-0-1,18,5,8,5,18,2,3,-1,305,False,False
33-2285-0-1,14,5,4,5,0,0,1,-1,252,True,False
33-2285-0-2,14,5,4,5,0,0,1,-1,243,True,False
33-2286-0-1,14,5,4,5,0,0,1,-1,252,True,False
33-2286-0-2,14,5,4,5,0,0,1,-1,243,True,False
33-2291-0-1,16,5,6,5,1,2,1,-1,295,True,False
33-2291-1-1,16,5,6,5,1,2,1,-1,275,True,False
33-2301-0-1,15,5,5,5,1,1,1,-1,255,True,False
33-2309-0-1,26,5,16,5,13,0,13,-1,322,True,False
33-2311-0-1,30,5,20,5,15,2,15,-1,397,True,False
33-2324-0-1,19,5,9,5,6,2,4,-1,277,False,False
33-2325-0-1,17,5,7,5,4,3,1,-1,336,False,False
33-2325-0-2,18,5,8,5,5,3,2,-1,377,False,False
33-2325-0-3,19,5,9,5,6,5,1,-1,335,False,False
33-2325-0-5,15,5,5,5,1,1,1,-1,265,True,False
33-2326-0-4,17,5,7,5,2,1,3,-1,265,True,False
33-2352-0-1,16,5,6,5,2,2,1,-1,350,True,False
33-2361-0-1,29,5,19,5,8,8,8,-1,366,False,False
33-2430-0-1,17,5,7,5,2,2,2,-1,296,True,False
33-2431-0-1,17,5,7,5,2,2,2,-1,280,True,False
33-2456-0-1,17,5,7,5,3,3,1,-1,263,True,False
33-2456-0-4,22,5,12,5,6,6,3,-1,319,False,False
33-2463-0-1,19,5,9,5,3,3,3,-1,384,True,False
33-2467-0-2,29,5,19,5,5,11,5,-1,375,True,False
33-2476-0-1,18,5,8,5,3,2,3,-1,288,True,False
33-2476-0-2,20,5,10,5,3,4,3,-1,354,True,False
33-2483-0-1,18,5,8,5,3,2,3,-1,290,False,False
33-2485-0-1,15,5,5,5,1,1,1,-1,214,True,False
33-2485-1-1,18,5,8,5,1,4,1,-1,311,True,False
33-2494-0-1,16,5,6,5,3,1,2,-1,259,False,False
33-2496-0-1,15,5,5,5,3,1,1,-1,328,False,False
33-2496-0-2,15,5,5,5,2,1,1,-1,252,False,True
33-2496-0-3,31,5,21,5,8,10,8,-1,388,True,False
33-2496-0-4,30,5,20,5,206,8,9,-1,459,False,False
33-2497-0-1,15,5,5,5,3,1,1,-1,324,False,False
33-2497-0-2,15,5,5,5,2,1,1,-1,251,False,True
33-2497-0-3,18,5,8,5,3,2,3,-1,270,True,False
33-2497-0-4,18,5,8,5,2,3,2,-1,292,True,False
33-2497-0-5,28,5,18,5,187,8,7,-1,405,False,False
33-2498-0-1,15,5,5,5,2,1,1,-1,250,False,True
33-2498-0-2,27,5,17,5,4,10,4,-1,371,True,False
33-2498-0-3,32,5,22,5,165,8,11,-1,456,False,False
33-2500-0-1,15,5,5,5,2,1,1,-1,248,False,True
33-2500-0-2,29,5,19,5,5,11,5,-1,382,True,False
33-2500-0-3,27,5,17,5,162,5,9,-1,414,False,False
33-2501-0-1,15,5,5,5,3,1,1,-1,334,False,False
33-2501-0-2,15,5,5,5,2,1,1,-1,254,False,True
33-2501-0-3,15,5,5,5,1,1,1,-1,265,True,False
33-2501-0-4,18,5,8,5,2,2,3,-1,296,False,False
33-2501-0-5,27,5,17,5,247,9,5,-1,459,False,False
33-2502-0-1,17,5,7,5,5,1,3,-1,354,False,False
33-2502-0-2,16,5,6,5,3,1,2,-1,260,False,False
33-2503-0-1,15,5,5,5,2,1,1,-1,250,False,True
33-2503-0-2,29,5,19,5,5,11,5,-1,384,True,False
33-2503-0-3,31,5,21,5,166,9,9,-1,488,False,False
33-2504-0-1,15,5,5,5,3,1,1,-1,323,False,False
33-2504-0-2,16,5,6,5,3,1,2,-1,258,False,False
33-2504-0-3,28,5,18,5,5,10,5,-1,363,True,False
33-2504-0-4,56,5,46,5,184,10,33,-1,670,False,False
33-2505-0-1,14,5,4,5,0,0,1,-1,239,True,False
33-2511-0-1,11,5,6,0,0,1,2,-1,197,True,False
33-2511-1-1,15,5,5,5,1,1,1,-1,254,True,False
33-2513-0-1,30,5,20,5,20,10,7,-1,394,False,False
33-2523-0-4,80,5,72,3,160,34,35,-1,716,False,False
33-2530-0-1,14,5,4,5,0,1,0,-1,229,True,False
33-2533-1-4,37,5,27,5,21,16,8,-1,562,False,False
33-2533-1-5,18,5,8,5,5,5,0,-1,340,True,False
33-2533-1-6,22,5,12,5,4,2,7,-1,312,True,False
33-2533-1-7,25,5,15,5,14,7,5,-1,395,False,False
33-2533-1-8,47,5,37,5,34,34,0,-1,475,True,False
33-2533-1-9,135,5,129,1,33,126,0,-1,1211,False,False
33-2534-0-1,30,5,20,5,13,5,12,-1,426,False,False
33-2534-0-4,41,5,31,5,0,28,0,-1,458,True,False
33-2539-0-1,17,5,7,5,3,1,3,-1,240,True,False
33-2539-1-1,16,5,6,5,3,1,2,-1,253,False,True
33-2539-1-2,20,5,10,5,0,7,0,-1,367,True,False
33-2539-1-3,26,5,16,5,16,6,7,-1,468,False,False
33-2539-1-5,64,5,57,2,57,44,10,-1,707,False,False
33-2541-0-1,16,5,6,5,2,1,2,-1,267,True,False
33-2542-0-1,14,5,4,5,1,0,1,-1,228,True,False
33-2542-0-2,14,5,4,5,1,0,1,-1,279,True,False
33-2542-0-3,20,5,10,5,6,1,6,-1,308,True,False
33-2542-0-4,15,5,5,5,1,1,1,-1,299,True,False
33-2542-0-6,17,5,7,5,4,0,4,-1,271,True,False
33-2542-1-3,23,5,13,5,6,4,6,-1,386,False,False
33-2544-1-1,18,5,8,5,5,5,0,-1,254,True,False
33-2544-1-10,59,5,49,5,46,46,0,-1,533,True,False
33-2544-1-11,148,5,142,1,47,139,0,-1,1341,False,False
33-2544-1-2,23,5,13,5,2,10,0,-1,375,False,False
33-2544-1-7,21,5,11,5,2,2,6,-1,282,True,False
33-2544-1-9,16,5,6,5,0,3,0,-1,287,True,False
33-2559-0-2,24,5,14,5,6,5,6,-1,429,False,False
33-2559-0-3,20,5,10,5,4,3,4,-1,391,False,False
33-2559-1-1,15,5,5,5,0,0,2,-1,237,True,False
33-2559-1-2,26,5,16,5,9,10,3,-1,367,True,False
33-2559-1-3,14,5,4,5,0,0,1,-1,220,True,False
33-2559-1-4,41,5,31,5,30,28,0,-1,441,False,False
33-2559-1-5,20,5,10,5,3,3,4,-1,341,True,False
33-2559-1-7,23,5,13,5,3,3,7,-1,328,True,False
33-2559-2-5,16,5,6,5,0,3,0,-1,254,True,False
33-2559-2-6,55,5,45,5,41,42,0,-1,454,False,False
33-2559-2-7,101,5,95,1,0,92,0,-1,945,True,False
33-2564-0-1,16,5,6,5,2,1,2,-1,304,True,False
33-2564-1-1,22,5,12,5,2,7,2,-1,299,True,False
33-2564-2-1,14,5,4,5,1,1,0,-1,225,True,False
33-2570-0-1,19,5,9,5,3,3,3,-1,389,True,False
33-2570-1-1,14,5,4,5,1,0,1,-1,227,True,False
33-2570-1-2,14,5,4,5,1,0,1,-1,278,True,False
33-2570-1-3,20,5,10,5,6,1,6,-1,307,True,False
33-2570-1-4,77,5,67,5,64,0,64,-1,790,True,False
33-2570-1-5,17,5,7,5,4,0,4,-1,270,True,False
33-2570-2-1,22,5,12,5,7,5,4,-1,391,False,False
33-2570-2-2,30,5,20,5,16,2,15,-1,482,False,False
33-2572-0-1,15,5,5,5,2,1,1,-1,313,False,False
33-2572-0-2,15,5,5,5,2,1,1,-1,276,False,False
33-2572-0-3,25,5,15,5,15,6,6,-1,374,False,False
33-2572-0-4,32,5,22,5,22,11,8,-1,358,False,False
33-2578-0-1,17,5,7,5,1,3,1,-1,316,True,False
33-2578-0-2,16,5,6,5,0,3,0,-1,261,True,False
33-2581-0-1,17,5,7,5,3,3,1,-1,310,False,False
33-2581-0-2,18,5,8,5,4,5,0,-1,314,False,False
33-2594-0-1,19,5,9,5,3,3,3,-1,389,True,False
33-2594-1-1,14,5,4,5,1,0,1,-1,227,True,False
33-2594-1-2,14,5,4,5,1,0,1,-1,278,True,False
33-2594-1-3,21,5,11,5,6,2,6,-1,317,True,False
33-2594-1-4,15,5,5,5,1,1,1,-1,298,True,False
33-2594-1-5,16,5,6,5,0,3,0,-1,297,True,False
33-2594-1-6,26,5,16,5,5,8,5,-1,371,True,False
33-2594-1-7,77,5,67,5,64,0,64,-1,790,True,False
33-2594-2-3,21,5,11,5,5,4,4,-1,366,False,False
33-2599-0-1,15,5,5,5,0,2,0,-1,239,True,False
33-2599-0-2,17,5,7,5,1,3,1,-1,318,True,False
33-2599-0-3,22,5,12,5,7,2,7,-1,329,True,False
33-2599-0-4,44,5,34,5,31,0,31,-1,526,True,False
33-2599-0-5,15,5,5,5,1,1,1,-1,288,True,False
33-2599-0-6,15,5,5,5,1,1,1,-1,262,True,False
33-2599-1-2,14,5,4,5,1,0,1,-1,277,True,False
33-2599-1-3,19,5,9,5,3,3,3,-1,306,True,False
33-2603-0-2,30,5,20,5,0,0,17,-1,328,True,False
33-2603-0-3,14,5,4,5,0,0,1,-1,222,True,False
33-2613-0-1,15,5,5,5,1,1,1,-1,251,True,False
33-2613-0-2,20,5,10,5,0,0,7,-1,331,True,False
33-2613-0-3,18,5,8,5,4,4,1,-1,291,False,False
33-2613-1-1,14,5,4,5,1,0,1,-1,259,True,False
33-2613-1-2,17,5,7,5,3,1,3,-1,352,True,False
33-2613-1-3,34,5,26,3,23,0,23,-1,419,True,False
33-2614-0-1,31,5,21,5,6,12,6,-1,483,True,False
33-2614-0-2,34,5,24,5,4,17,4,-1,440,True,False
33-2618-0-1,15,5,5,5,1,1,1,-1,265,True,False
33-2618-0-2,15,5,5,5,1,1,1,-1,271,True,False
33-2618-1-1,14,5,4,5,0,1,0,-1,262,True,False
33-2619-0-1,14,5,4,5,1,0,1,-1,259,True,False
33-2619-0-2,18,5,8,5,3,2,3,-1,358,True,False
33-2620-0-1,14,5,4,5,1,0,1,-1,214,True,False
33-2620-0-2,17,5,7,5,2,2,2,-1,313,True,False
33-2620-0-3,45,5,35,5,19,13,19,-1,574,True,False
33-2620-0-4,37,5,27,5,14,10,14,-1,499,True,False
33-2620-0-5,26,5,16,5,7,6,7,-1,386,True,False
33-2620-1-1,14,5,4,5,1,0,1,-1,213,True,False
33-2620-1-2,32,5,22,5,12,8,11,-1,389,False,False
33-2622-0-1,14,5,4,5,1,1,0,-1,285,True,False
33-2625-0-1,68,5,60,3,61,38,19,-1,816,False,False
33-2628-0-1,15,5,5,5,1,1,1,-1,262,True,False
33-2628-1-1,14,5,4,5,1,0,1,-1,259,True,False
33-2628-1-2,15,5,5,5,1,1,1,-1,261,True,False
33-2628-1-3,18,5,8,5,3,2,3,-1,358,True,False
33-2629-0-1,25,5,15,5,0,12,0,-1,348,True,False
33-2630-1-1,14,5,4,5,0,1,0,-1,285,True,False
33-2634-0-1,66,5,56,5,59,17,36,-1,744,False,False
33-2635-0-1,49,5,41,3,42,19,19,-1,641,False,False
33-2637-0-1,15,5,5,5,1,1,1,-1,262,True,False
33-2637-1-1,14,5,4,5,1,0,1,-1,259,True,False
33-2637-1-2,18,5,8,5,3,2,3,-1,358,True,False
33-2639-0-1,14,5,4,5,1,1,0,-1,285,True,False
33-2643-0-1,17,5,7,5,2,2,2,-1,254,True,False
33-2643-0-2,21,5,11,5,4,4,4,-1,291,True,False
33-2643-0-3,17,5,7,5,2,2,2,-1,305,True,False
33-2643-0-4,15,5,5,5,1,1,1,-1,265,True,False
33-2643-1-1,14,5,4,5,1,1,0,-1,214,True,False
33-2643-1-4,37,5,27,5,24,24,0,-1,450,True,False
33-2643-1-5,14,5,4,5,0,0,1,-1,324,True,False
33-2643-1-6,20,5,10,5,4,4,3,-1,312,True,False
33-2643-1-7,34,5,27,2,24,24,0,-1,430,True,False
33-2647-0-1,24,5,14,5,3,8,3,-1,352,True,False
33-2647-0-2,15,5,5,5,1,1,1,-1,282,True,False
33-2647-0-3,15,5,7,3,31,3,1,-1,255,False,True
33-2649-0-1,89,5,79,5,82,17,59,-1,1006,False,False
33-2650-0-1,15,5,5,5,1,1,1,-1,262,True,False
33-2650-1-1,14,5,4,5,1,0,1,-1,259,True,False
33-2650-1-2,15,5,5,5,1,1,1,-1,261,True,False
33-2650-1-3,18,5,8,5,3,2,3,-1,358,True,False
33-2652-0-1,14,5,4,5,1,1,0,-1,285,True,False
33-2657-0-1,15,5,5,5,1,1,1,-1,271,True,False
33-2657-0-2,16,5,6,5,1,2,1,-1,313,True,False
33-2657-1-1,14,5,4,5,0,1,0,-1,262,True,False
