repository,stars,language,created_at,updated_at,forks,open_issues,size,default_branch,description,url,clone_url,archived,disabled,architecture,community,continuous_integration,documentation,history,issues,license,size_metric,unit_test
vitejs/vite,74091,TypeScript,2020-04-21T05:03:57Z,2025-07-12T14:34:49Z,6935,638,48267,main,Next generation frontend tooling. It's fast!,https://github.com/vitejs/vite,https://github.com/vitejs/vite.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
coder/code-server,72845,TypeScript,2019-02-27T16:50:41Z,2025-07-12T14:31:29Z,6094,143,53895,main,VS Code in the browser,https://github.com/coder/code-server,https://github.com/coder/code-server.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hoppscotch/hoppscotch,72782,TypeScript,2019-08-21T13:15:24Z,2025-07-12T14:33:23Z,5041,540,92307,main,"Open source API development ecosystem - https://hoppscotch.io (open-source alternative to Postman, Insomnia)",https://github.com/hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nestjs/nest,71731,TypeScript,2017-02-04T20:12:52Z,2025-07-12T14:01:40Z,7945,81,395712,master,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications with TypeScript/JavaScript 🚀",https://github.com/nestjs/nest,https://github.com/nestjs/nest.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
immich-app/immich,70210,TypeScript,2022-02-03T15:56:27Z,2025-07-12T14:44:34Z,3695,555,233239,main,High performance self-hosted photo and video management solution.,https://github.com/immich-app/immich,https://github.com/immich-app/immich.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
grafana/grafana,68943,TypeScript,2013-12-11T15:59:56Z,2025-07-12T14:33:12Z,12768,3776,1201741,main,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",https://github.com/grafana/grafana,https://github.com/grafana/grafana.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
strapi/strapi,67625,TypeScript,2015-09-30T15:34:48Z,2025-07-12T13:34:38Z,8715,1155,588828,develop,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable, and developer-first.",https://github.com/strapi/strapi,https://github.com/strapi/strapi.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
apache/superset,67068,TypeScript,2015-07-21T18:55:34Z,2025-07-12T13:20:20Z,15303,804,755678,master,Apache Superset is a Data Visualization and Data Exploration Platform,https://github.com/apache/superset,https://github.com/apache/superset.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clash-verge-rev/clash-verge-rev,65139,TypeScript,2023-11-21T18:24:03Z,2025-07-12T14:22:27Z,4930,42,66345,dev,"A modern GUI client based on Tauri, designed to run in Windows, macOS and Linux for tailored proxy experience",https://github.com/clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Eugeny/tabby,64729,TypeScript,2016-12-23T09:06:10Z,2025-07-12T12:34:26Z,3650,2332,97570,master,A terminal for a more modern age,https://github.com/Eugeny/tabby,https://github.com/Eugeny/tabby.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
apache/echarts,63972,TypeScript,2013-04-03T03:18:59Z,2025-07-12T07:33:24Z,19752,2008,256564,master,"Apache ECharts is a powerful, interactive charting and data visualization library for browser",https://github.com/apache/echarts,https://github.com/apache/echarts.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lobehub/lobe-chat,63380,TypeScript,2023-05-21T07:19:12Z,2025-07-12T13:17:59Z,13180,915,428045,main,"🤯 Lobe Chat - an open-source, modern design AI chat framework. Supports multiple AI providers (OpenAI / Claude 4 / Gemini / DeepSeek / Ollama / Qwen), Knowledge Base (file upload / RAG ), one click install MCP Marketplace and Artifacts / Thinking. One-click FREE deployment of your private AI Agent application.",https://github.com/lobehub/lobe-chat,https://github.com/lobehub/lobe-chat.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
socketio/socket.io,62192,TypeScript,2010-03-11T18:24:48Z,2025-07-12T10:26:29Z,10134,208,32113,main,Realtime application framework (Node.JS server),https://github.com/socketio/socket.io,https://github.com/socketio/socket.io.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
reduxjs/redux,61273,TypeScript,2015-05-29T23:53:15Z,2025-07-12T07:59:04Z,15205,43,34111,master,A JS library for predictable global state management,https://github.com/reduxjs/redux,https://github.com/reduxjs/redux.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
facebook/docusaurus,60747,TypeScript,2017-06-20T16:13:53Z,2025-07-12T12:20:41Z,9233,363,801231,main,Easy to maintain open source documentation websites.,https://github.com/facebook/docusaurus,https://github.com/facebook/docusaurus.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
modelcontextprotocol/servers,59127,TypeScript,2024-11-19T01:10:17Z,2025-07-12T14:43:21Z,6835,412,25837,main,Model Context Protocol Servers,https://github.com/modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
google-gemini/gemini-cli,58209,TypeScript,2025-04-17T17:04:31Z,2025-07-12T14:40:53Z,5303,1169,16332,main,An open-source AI agent that brings the power of Gemini directly into your terminal.,https://github.com/google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nuxt/nuxt,57575,TypeScript,2016-10-26T11:18:47Z,2025-07-12T12:28:22Z,5298,824,123974,main,The Intuitive Vue Framework.,https://github.com/nuxt/nuxt,https://github.com/nuxt/nuxt.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nocodb/nocodb,55712,TypeScript,2017-10-29T18:51:48Z,2025-07-12T14:45:32Z,4006,663,1355003,develop,🔥 🔥 🔥 Open Source Airtable Alternative,https://github.com/nocodb/nocodb,https://github.com/nocodb/nocodb.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
remix-run/react-router,55187,TypeScript,2014-05-16T22:22:51Z,2025-07-12T07:26:00Z,10650,125,39442,main,Declarative routing for React,https://github.com/remix-run/react-router,https://github.com/remix-run/react-router.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pmndrs/zustand,53451,TypeScript,2019-04-09T09:10:06Z,2025-07-12T13:51:29Z,1734,5,7554,main,🐻 Bear necessities for state management in React,https://github.com/pmndrs/zustand,https://github.com/pmndrs/zustand.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
toeverything/AFFiNE,53076,TypeScript,2022-07-31T18:45:21Z,2025-07-12T14:37:15Z,3544,235,546885,canary,"There can be more than Notion and Miro. AFFiNE(pronounced [ə‘fain]) is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. ",https://github.com/toeverything/AFFiNE,https://github.com/toeverything/AFFiNE.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
withastro/astro,52220,TypeScript,2021-03-15T17:19:47Z,2025-07-12T10:31:00Z,2818,256,197104,main,The web framework for content-driven websites. ⭐️ Star to support our work!,https://github.com/withastro/astro,https://github.com/withastro/astro.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ionic-team/ionic-framework,51890,TypeScript,2013-08-20T23:06:02Z,2025-07-12T12:35:34Z,13445,579,1509928,main,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",https://github.com/ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
appwrite/appwrite,51809,TypeScript,2019-04-08T16:36:25Z,2025-07-12T14:15:29Z,4564,789,341757,main,Build like a team of hundreds_,https://github.com/appwrite/appwrite,https://github.com/appwrite/appwrite.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vuejs/core,50809,TypeScript,2018-06-12T13:49:36Z,2025-07-12T14:38:23Z,8756,1059,36127,main,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.",https://github.com/vuejs/core,https://github.com/vuejs/core.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
laurent22/joplin,50261,TypeScript,2017-01-16T21:49:41Z,2025-07-12T14:13:30Z,5394,548,578993,dev,"Joplin - the privacy-focused note taking app with sync capabilities for Windows, macOS, Linux, Android and iOS.",https://github.com/laurent22/joplin,https://github.com/laurent22/joplin.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DefinitelyTyped/DefinitelyTyped,50025,TypeScript,2012-10-05T16:39:45Z,2025-07-12T14:28:49Z,30435,712,747231,master,The repository for high quality TypeScript type definitions.,https://github.com/DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cypress-io/cypress,48759,TypeScript,2015-03-04T00:46:28Z,2025-07-12T08:57:26Z,3311,1330,753290,develop,"Fast, easy and reliable testing for anything that runs in a browser.",https://github.com/cypress-io/cypress,https://github.com/cypress-io/cypress.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cline/cline,47423,TypeScript,2024-07-06T07:28:10Z,2025-07-12T14:42:46Z,6153,575,189927,main,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",https://github.com/cline/cline,https://github.com/cline/cline.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
type-challenges/type-challenges,45950,TypeScript,2020-07-23T14:33:11Z,2025-07-12T11:59:24Z,5012,32284,3165,main,Collection of TypeScript type challenges with online judge,https://github.com/type-challenges/type-challenges,https://github.com/type-challenges/type-challenges.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TanStack/query,45823,TypeScript,2019-09-10T19:23:58Z,2025-07-12T13:42:40Z,3320,125,91173,main,"🤖 Powerful asynchronous state management, server-state utilities and data fetching for the web. TS/JS, React Query, Solid Query, Svelte Query and Vue Query.",https://github.com/TanStack/query,https://github.com/TanStack/query.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
slab/quill,45703,TypeScript,2012-07-30T23:23:18Z,2025-07-12T12:30:21Z,3527,569,18249,main,Quill is a modern WYSIWYG editor built for compatibility and extensibility,https://github.com/slab/quill,https://github.com/slab/quill.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pixijs/pixijs,45384,TypeScript,2013-01-21T22:40:50Z,2025-07-12T14:33:44Z,4871,413,114509,dev,"The HTML5 Creation Engine: Create beautiful digital content with the fastest, most flexible 2D WebGL renderer.",https://github.com/pixijs/pixijs,https://github.com/pixijs/pixijs.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lyswhut/lx-music-desktop,45082,TypeScript,2019-08-14T14:31:08Z,2025-07-12T13:40:32Z,6325,930,71910,master,一个基于 electron 的音乐软件,https://github.com/lyswhut/lx-music-desktop,https://github.com/lyswhut/lx-music-desktop.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jestjs/jest,44886,TypeScript,2013-12-10T00:18:04Z,2025-07-12T11:46:12Z,6571,260,309867,main,Delightful JavaScript Testing.,https://github.com/jestjs/jest,https://github.com/jestjs/jest.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vercel/hyper,44078,TypeScript,2016-07-01T06:01:21Z,2025-07-12T10:43:15Z,3532,1018,24532,canary,A terminal built on web technologies,https://github.com/vercel/hyper,https://github.com/vercel/hyper.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FuelLabs/fuels-ts,43679,TypeScript,2021-09-03T18:11:03Z,2025-07-12T05:47:06Z,1371,69,113507,master,Fuel Network Typescript SDK,https://github.com/FuelLabs/fuels-ts,https://github.com/FuelLabs/fuels-ts.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
babel/babel,43654,TypeScript,2014-09-28T13:38:23Z,2025-07-12T10:22:02Z,5722,753,133237,main,🐠 Babel is a compiler for writing next generation JavaScript.,https://github.com/babel/babel,https://github.com/babel/babel.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
react-hook-form/react-hook-form,43487,TypeScript,2019-03-05T23:47:10Z,2025-07-12T12:51:42Z,2237,75,29909,master,📋 React Hooks for form state management and validation (Web + React Native),https://github.com/react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
streamich/react-use,43245,TypeScript,2018-10-27T10:16:05Z,2025-07-12T11:11:45Z,3239,625,83799,master,React Hooks — 👍,https://github.com/streamich/react-use,https://github.com/streamich/react-use.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RocketChat/Rocket.Chat,42952,TypeScript,2015-05-19T07:36:09Z,2025-07-12T14:30:51Z,11937,3328,1863585,develop,The communications platform that puts data protection first.,https://github.com/RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
prisma/prisma,42842,TypeScript,2019-06-20T13:33:47Z,2025-07-12T14:05:56Z,1788,2331,152065,main,"Next-generation ORM for Node.js & TypeScript | PostgreSQL, MySQL, MariaDB, SQL Server, SQLite, MongoDB and CockroachDB",https://github.com/prisma/prisma,https://github.com/prisma/prisma.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mendableai/firecrawl,42831,TypeScript,2024-04-15T21:02:29Z,2025-07-12T14:22:25Z,4033,191,60483,main,"🔥 Turn entire websites into LLM-ready markdown or structured data. Scrape, crawl and extract with a single API.",https://github.com/mendableai/firecrawl,https://github.com/mendableai/firecrawl.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
expo/expo,41663,TypeScript,2016-08-15T17:14:25Z,2025-07-12T14:11:54Z,7563,793,3377014,main,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",https://github.com/expo/expo,https://github.com/expo/expo.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FlowiseAI/Flowise,41377,TypeScript,2023-03-31T12:23:09Z,2025-07-12T14:31:53Z,21224,649,61657,main,"Build AI Agents, Visually",https://github.com/FlowiseAI/Flowise,https://github.com/FlowiseAI/Flowise.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
styled-components/styled-components,40843,TypeScript,2016-08-16T06:41:32Z,2025-07-12T11:22:04Z,2510,321,34603,main,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress 💅,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tldraw/tldraw,40701,TypeScript,2021-05-09T11:48:37Z,2025-07-12T13:26:25Z,2593,305,836370,main,very good whiteboard SDK / infinite canvas SDK,https://github.com/tldraw/tldraw,https://github.com/tldraw/tldraw.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vuetifyjs/vuetify,40599,TypeScript,2016-09-12T00:39:35Z,2025-07-12T07:24:57Z,7049,707,95812,master,🐉 Vue Component Framework,https://github.com/vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hexojs/hexo,40508,TypeScript,2012-09-23T15:17:08Z,2025-07-12T14:01:29Z,4945,90,7029,master,"A fast, simple & powerful blog framework, powered by Node.js.",https://github.com/hexojs/hexo,https://github.com/hexojs/hexo.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AykutSarac/jsoncrack.com,39382,TypeScript,2022-01-30T15:25:18Z,2025-07-12T14:03:54Z,2642,47,40945,main,"✨ Innovative and open-source visualization application that transforms various data formats, such as JSON, YAML, XML, CSV and more, into interactive graphs.",https://github.com/AykutSarac/jsoncrack.com,https://github.com/AykutSarac/jsoncrack.com.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chakra-ui/chakra-ui,39350,TypeScript,2019-08-17T14:27:54Z,2025-07-12T12:07:34Z,3443,11,180271,main,Chakra UI is a component system for building SaaS products with speed ⚡️,https://github.com/chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
colinhacks/zod,38983,TypeScript,2020-03-07T20:59:08Z,2025-07-12T14:44:09Z,1524,524,21030,main,TypeScript-first schema validation with static type inference,https://github.com/colinhacks/zod,https://github.com/colinhacks/zod.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
slidevjs/slidev,38785,TypeScript,2021-04-24T01:25:23Z,2025-07-12T11:49:01Z,1602,148,78955,main,Presentation Slides for Developers,https://github.com/slidevjs/slidev,https://github.com/slidevjs/slidev.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
upscayl/upscayl,37891,TypeScript,2022-07-30T17:19:20Z,2025-07-12T12:58:45Z,1746,61,550918,main,"🆙 Upscayl - #1 Free and Open Source AI Image Upscaler for Linux, MacOS and Windows.",https://github.com/upscayl/upscayl,https://github.com/upscayl/upscayl.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
trpc/trpc,37823,TypeScript,2020-07-18T01:17:11Z,2025-07-12T14:41:14Z,1386,180,46947,main,🧙‍♀️  Move Fast and Break Nothing. End-to-end typesafe APIs made easy. ,https://github.com/trpc/trpc,https://github.com/trpc/trpc.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DIYgod/RSSHub,37716,TypeScript,2018-04-02T14:43:21Z,2025-07-12T14:16:24Z,8306,360,670981,master,🧡 Everything is RSSible,https://github.com/DIYgod/RSSHub,https://github.com/DIYgod/RSSHub.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
appsmithorg/appsmith,37424,TypeScript,2020-06-30T04:07:36Z,2025-07-12T08:48:14Z,4141,4378,790480,release,"Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and any API.",https://github.com/appsmithorg/appsmith,https://github.com/appsmithorg/appsmith.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ant-design/ant-design-pro,37294,TypeScript,2017-08-25T10:40:44Z,2025-07-12T13:28:43Z,8201,196,27303,master,👨🏻‍💻👩🏻‍💻 Use Ant Design like a Pro!,https://github.com/ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
novuhq/novu,37249,TypeScript,2021-08-26T15:22:44Z,2025-07-12T13:50:43Z,4064,248,236745,next,"The open-source notification Inbox infrastructure. E-mail, SMS, Push and Slack Integrations.",https://github.com/novuhq/novu,https://github.com/novuhq/novu.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
makeplane/plane,37208,TypeScript,2022-11-19T12:55:01Z,2025-07-12T14:15:50Z,2457,509,157580,preview,"🔥 🔥 🔥 Open Source JIRA, Linear, Monday, and Asana Alternative. Plane helps you track your issues, epics, and cycles the easiest way on the planet.",https://github.com/makeplane/plane,https://github.com/makeplane/plane.git,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
